Comapny Name,Total ESG Risk Score,Environmental Risk Score,Social Risk Score,Governance Risk Score,Controversy Level
"Bath & Body Works, Inc. (BBWI)",28,12.2,10.3,5.9,2
"Best Buy Co., Inc. (BBY)",16,2.4,9.1,4.4,2
BCE Inc. (BCE),19,3.4,10.2,5.2,2
"Becton, Dickinson and Company (BDX)",24,3.0,13.6,7.1,3
"Franklin Resources, Inc. (BEN)",18,1.1,9.9,7.3,2
Brookfield Renewable Partners L.P. (BEP),18,2.5,9.5,5.8,1
"Bread Financial Holdings, Inc. (BFH)",18,,,,1
Bunge Global SA (BG),33,14.4,13.3,5.3,3
Bausch Health Companies Inc. (BHC),31,5.3,17.9,8.1,3
"Baidu, Inc. (BIDU)",24,2.5,12.6,9.1,3
Biogen Inc. (BIIB),22,0.4,14.5,7.4,3
"Bio-Rad Laboratories, Inc. (BIO)",17,1.2,9.2,7.0,1
The Bank of New York Mellon Corporation (BK),21,1.1,9.9,9.9,2
Booking Holdings Inc. (BKNG),19,1.0,10.1,8.1,3
"BlackRock, Inc. (BLK)",18,0.9,7.4,10.0,2
Bank of Montreal (BMO),15,1.9,5.7,7.6,2
BioMarin Pharmaceutical Inc. (BMRN),26,1.2,17.2,7.3,1
Bristol-Myers Squibb Company (BMY),23,1.3,14.4,7.1,2
Brookfield Corporation (BN),20,0.8,8.9,10.1,1
The Bank of Nova Scotia (BNS),20,1.6,9.7,8.9,3
BOK Financial Corporation (BOKF),21,2.3,7.6,11.3,1
"Broadridge Financial Solutions, Inc. (BR)",17,4.2,7.5,4.9,2
"Brown & Brown, Inc. (BRO)",20,0.1,9.8,10.6,1
Brixmor Property Group Inc. (BRX),11,3.8,2.9,4.6,0
Boston Scientific Corporation (BSX),23,2.4,11.9,8.9,2
BorgWarner Inc. (BWA),13,2.7,4.2,5.7,2
Blackstone Inc. (BX),23,2.5,9.6,11.3,2
"Boston Properties, Inc. (BXP)",13,2.5,4.5,5.4,1
Citigroup Inc. (C),29,1.8,13.8,13.7,4
"Conagra Brands, Inc. (CAG)",31,10.7,15.4,4.7,2
"Cardinal Health, Inc. (CAH)",15,1.2,7.3,6.4,3
Caterpillar Inc. (CAT),36,10.4,17.7,8.1,4
Chubb Limited (CB),24,1.5,11.5,10.6,2
"Cboe Global Markets, Inc. (CBOE)",21,2.7,7.6,10.6,1
"CBRE Group, Inc. (CBRE)",8,1.5,1.9,4.6,1
"Commerce Bancshares, Inc. (CBSH)",24,2.0,9.4,12.2,1
Crown Castle Inc. (CCI),10,4.1,1.7,4.3,0
"Crown Holdings, Inc. (CCK)",10,6.1,0.9,3.5,1
Carnival Corporation & plc (CCL),24,9.4,10.1,5.0,3
"Cadence Design Systems, Inc. (CDNS)",12,2.3,4.9,4.8,0
CDW Corporation (CDW),9,2.5,3.2,3.5,0
Celanese Corporation (CE),26,14.7,5.9,5.6,2
Cerus Corporation (CERS),22,3.7,10.4,7.8,
Central Securities Corporation (CET),22,3.0,8.6,7.9,
"CF Industries Holdings, Inc. (CF)",29,16.2,7.7,5.4,1
"Citizens Financial Group, Inc. (CFG)",24,2.0,10.1,11.4,2
"Cullen/Frost Bankers, Inc. (CFR)",30,2.2,12.8,15.2,1
"Church & Dwight Co., Inc. (CHD)",20,6.9,6.3,6.7,1
Chesapeake Energy Corporation (CHK),44,23.8,10.9,9.3,2
Check Point Software Technologies Ltd. (CHKP),23,5.1,12.2,5.8,1
"C.H. Robinson Worldwide, Inc. (CHRW)",19,4.7,9.3,5.3,1
"Charter Communications, Inc. (CHTR)",25,6.1,10.7,7.9,2
The Cigna Group (CI),12,0.0,6.0,5.7,2
Cincinnati Financial Corporation (CINF),26,1.8,11.0,12.9,1
Colgate-Palmolive Company (CL),26,8.3,11.3,6.5,2
The Clorox Company (CLX),22,7.7,8.6,5.3,2
Canadian Imperial Bank of Commerce (CM),18,1.9,7.8,8.0,2
Comerica Incorporated (CMA),25,2.5,11.0,11.7,2
Comcast Corporation (CMCSA),23,4.0,10.9,8.2,2
CME Group Inc. (CME),18,2.1,6.5,9.2,1
"Chipotle Mexican Grill, Inc. (CMG)",21,6.8,9.6,4.3,2
Cummins Inc. (CMI),19,5.6,7.7,5.9,2
CMS Energy Corporation (CMS),22,9.6,6.8,5.2,2
CNA Financial Corporation (CNA),29,2.1,12.3,14.5,1
Centene Corporation (CNC),20,0.1,13.3,6.5,2
CNH Industrial N.V. (CNHI),17,5.2,4.9,7.0,3
Canadian National Railway Company (CNI),14,4.9,6.7,2.4,2
"CenterPoint Energy, Inc. (CNP)",29,12.9,10.7,5.1,2
Canadian Natural Resources Limited (CNQ),30,15.6,7.1,7.1,1
Capital One Financial Corporation (COF),23,0.1,12.3,10.1,3
"CommScope Holding Company, Inc. (COMM)",15,,,,2
"The Cooper Companies, Inc. (COO)",17,2.7,8.8,6.0,2
ConocoPhillips (COP),34,17.6,8.1,8.3,2
"Cencora, Inc. (COR)",13,1.6,5.5,5.7,3
Costco Wholesale Corporation (COST),23,6.5,11.2,5.6,3
Coty Inc. (COTY),27,10.9,8.6,7.1,2
Canadian Pacific Kansas City Limited (CP),17,6.2,8.2,2.8,2
Campbell Soup Company (CPB),24,10.9,8.1,4.5,2
Veren Inc. (CPG),42,27.3,7.9,7.2,0
Capri Holdings Limited (CPRI),17,1.4,9.2,6.1,2
"Copart, Inc. (CPRT)",16,1.5,9.0,5.6,1
Camden Property Trust (CPT),16,4.0,3.9,8.2,1
"Salesforce, Inc. (CRM)",15,2.0,7.5,5.4,1
"Cisco Systems, Inc. (CSCO)",14,0.4,6.9,6.5,2
"CoStar Group, Inc. (CSGP)",22,4.9,9.3,7.7,1
Carlisle Companies Incorporated (CSL),23,11.0,5.9,5.8,1
CSX Corporation (CSX),22,7.0,10.0,4.8,2
Cintas Corporation (CTAS),18,3.0,9.2,5.9,2
Coterra Energy Inc. (CTRA),36,20.3,8.3,7.5,2
Cognizant Technology Solutions Corporation (CTSH),15,1.1,7.6,5.9,2
Cenovus Energy Inc. (CVE),39,21.6,9.6,8.1,2
CVS Health Corporation (CVS),22,0.0,15.8,6.2,3
Chevron Corporation (CVX),37,17.0,9.2,10.4,3
"Dominion Energy, Inc. (D)",26,11.9,8.8,5.6,2
"Delta Air Lines, Inc. (DAL)",30,9.9,14.6,5.8,2
Deutsche Bank Aktiengesellschaft (DB),28,1.1,11.6,15.3,4
"Donaldson Company, Inc. (DCI)",31,10.8,12.8,7.4,1
"DuPont de Nemours, Inc. (DD)",29,14.7,8.0,5.9,3
Deere & Company (DE),20,2.7,10.8,6.5,2
"Douglas Emmett, Inc. (DEI)",18,5.3,5.3,7.6,0
Dell Technologies Inc. (DELL),17,0.7,8.4,7.5,3
Discover Financial Services (DFS),23,0.1,11.9,10.5,2
Dollar General Corporation (DG),18,3.5,8.6,5.5,2
Quest Diagnostics Incorporated (DGX),21,0.1,13.1,8.0,3
"D.R. Horton, Inc. (DHI)",21,8.7,6.7,5.7,2
Danaher Corporation (DHR),12,1.4,5.2,5.3,2
The Walt Disney Company (DIS),16,0.0,9.0,6.7,2
"DICK'S Sporting Goods, Inc. (DKS)",17,3.7,8.1,5.5,2
"Digital Realty Trust, Inc. (DLR)",13,2.8,2.8,7.0,0
"Dollar Tree, Inc. (DLTR)",20,3.3,12.8,4.0,2
Dover Corporation (DOV),26,8.0,12.5,5.4,1
Amdocs Limited (DOX),13,1.2,6.0,5.3,1
"Domino's Pizza, Inc. (DPZ)",29,10.6,12.2,6.3,2
"Darden Restaurants, Inc. (DRI)",27,7.9,15.0,4.6,2
DTE Energy Company (DTE),30,15.0,10.0,4.7,2
Duke Energy Corporation (DUK),27,11.5,10.7,4.8,2
DaVita Inc. (DVA),23,0.1,14.1,8.4,2
Devon Energy Corporation (DVN),34,17.7,8.6,7.5,2
DXC Technology Company (DXC),15,1.3,8.8,5.3,2
"DexCom, Inc. (DXCM)",24,5.3,10.6,8.1,1
Electronic Arts Inc. (EA),13,0.1,8.4,4.7,2
eBay Inc. (EBAY),18,2.7,7.7,7.2,2
Ecolab Inc. (ECL),20,8.5,6.1,5.3,2
"Consolidated Edison, Inc. (ED)",24,6.9,10.9,6.1,3
New Oriental Education & Technology Group Inc. (EDU),16,0.2,9.4,6.1,2
Equifax Inc. (EFX),23,0.1,16.3,6.8,3
"Everest Group, Ltd. (EG)",18,1.4,6.7,9.9,1
Edison International (EIX),28,11.0,11.4,5.1,3
The Estée Lauder Companies Inc. (EL),25,6.9,11.1,7.5,2
"Elevance Health, Inc. (ELV)",11,0.1,6.0,5.3,2
Eastman Chemical Company (EMN),25,12.8,5.8,6.6,2
Emerson Electric Co. (EMR),28,8.8,13.1,6.6,1
Enbridge Inc. (ENB),21,10.1,8.0,3.0,3
"EOG Resources, Inc. (EOG)",34,20.2,6.7,7.3,1
"Equinix, Inc. (EQIX)",14,3.4,5.3,5.1,1
Equity Residential (EQR),12,3.0,2.9,6.1,1
EQT Corporation (EQT),36,17.7,10.1,7.9,1
Erie Indemnity Company (ERIE),28,2.6,11.4,13.5,1
Eversource Energy (ES),19,4.7,8.6,5.4,2
"Essex Property Trust, Inc. (ESS)",12,3.5,2.8,6.1,1
Energy Transfer LP (ET),52,,,,5
Eaton Corporation plc (ETN),18,5.5,6.8,5.7,1
Entergy Corporation (ETR),27,14.0,7.3,5.3,2
Edwards Lifesciences Corporation (EW),19,2.9,8.1,7.6,1
"East West Bancorp, Inc. (EWBC)",27,1.6,12.3,13.4,1
Exelon Corporation (EXC),23,7.4,9.1,6.4,3
Eagle Materials Inc. (EXP),40,22.3,9.2,9.0,1
"Expeditors International of Washington, Inc. (EXPD)",17,4.2,7.6,4.8,2
"Expedia Group, Inc. (EXPE)",28,4.3,13.3,10.1,2
Extra Space Storage Inc. (EXR),15,4.2,3.7,7.3,1
Ford Motor Company (F),22,7.4,6.4,8.5,3
Fastenal Company (FAST),25,9.3,8.3,7.1,2
"Fortune Brands Innovations, Inc. (FBIN)",24,10.6,6.1,7.5,1
Freeport-McMoRan Inc. (FCX),32,15.3,10.0,6.4,4
FactSet Research Systems Inc. (FDS),18,4.3,8.8,5.3,1
FedEx Corporation (FDX),20,5.7,8.4,5.6,2
FirstEnergy Corp. (FE),26,10.8,9.0,5.8,3
"F5, Inc. (FFIV)",17,4.1,7.6,5.4,1
"Fiserv, Inc. (FI)",20,4.1,8.7,6.8,2
"Fidelity National Information Services, Inc. (FIS)",17,4.1,8.2,5.2,1
Fifth Third Bancorp (FITB),17,1.2,8.1,7.5,2
"Foot Locker, Inc. (FL)",12,,,,2
Flex Ltd. (FLEX),6,,,,1
Fluor Corporation (FLR),33,,,,3
Flowserve Corporation (FLS),23,7.9,10.5,4.8,2
FMC Corporation (FMC),31,14.4,8.9,7.5,1
"Fidelity National Financial, Inc. (FNF)",24,1.5,9.8,12.9,1
Franco-Nevada Corporation (FNV),8,0.1,2.6,5.5,2
Federal Realty Investment Trust (FRT),12,2.3,4.3,5.8,1
"Fortinet, Inc. (FTNT)",19,2.5,10.0,6.4,1
Fortis Inc. (FTS),28,14.4,8.4,5.1,1
Fortive Corporation (FTV),35,16.1,14.0,4.7,1
General Dynamics Corporation (GD),35,9.4,18.9,6.9,3
General Electric Company (GE),41,14.2,15.4,10.9,3
Gen Digital Inc. (GEN),17,3.3,8.2,5.4,2
Graco Inc. (GGG),30,8.9,13.5,7.6,0
CGI Inc. (GIB),15,1.2,7.8,6.3,0
Gildan Activewear Inc. (GIL),10,1.2,4.6,3.9,2
"Gilead Sciences, Inc. (GILD)",23,1.0,14.3,7.6,2
"General Mills, Inc. (GIS)",21,8.3,8.7,4.1,2
Globe Life Inc. (GL),20,1.6,8.3,10.5,2
"Gaming and Leisure Properties, Inc. (GLPI)",16,6.3,4.1,5.3,1
Corning Incorporated (GLW),16,5.5,4.8,6.1,2
General Motors Company (GM),29,9.8,11.5,7.2,4
Gentex Corporation (GNTX),19,5.5,5.5,7.5,1
Barrick Gold Corporation (GOLD),33,15.9,11.9,5.5,4
Alphabet Inc. (GOOGL),24,1.6,11.2,11.5,4
Genuine Parts Company (GPC),14,4.7,5.2,3.8,2
Global Payments Inc. (GPN),21,3.7,10.7,6.5,1
"The Gap, Inc. (GPS)",16,1.2,9.1,5.3,3
Garmin Ltd. (GRMN),21,4.8,11.6,4.3,1
"The Goldman Sachs Group, Inc. (GS)",25,0.9,12.8,11.8,2
The Goodyear Tire & Rubber Company (GT),15,,,,3
"W.W. Grainger, Inc. (GWW)",16,4.5,5.6,5.9,2
Hyatt Hotels Corporation (H),30,13.2,11.6,5.1,2
Halliburton Company (HAL),26,9.8,8.9,6.9,2
"Hasbro, Inc. (HAS)",7,0.0,2.9,4.2,2
Huntington Bancshares Incorporated (HBAN),22,2.0,11.2,8.7,2
Hanesbrands Inc. (HBI),14,1.3,7.6,5.3,2
"HCA Healthcare, Inc. (HCA)",29,3.9,17.7,7.2,3
"The Home Depot, Inc. (HD)",13,3.3,5.6,3.8,2
Hess Corporation (HES),33,18.9,7.2,7.0,2
"The Hartford Financial Services Group, Inc. (HIG)",17,1.8,7.2,7.6,1
Herbalife Ltd. (HLF),31,11.4,11.1,8.1,2
Hilton Worldwide Holdings Inc. (HLT),18,6.1,7.0,4.4,2
"Harley-Davidson, Inc. (HOG)",15,2.9,6.0,6.1,2
"Hologic, Inc. (HOLX)",25,4.6,12.1,8.4,1
Honeywell International Inc. (HON),29,11.0,10.6,7.0,3
"Helmerich & Payne, Inc. (HP)",22,,,,0
Hewlett Packard Enterprise Company (HPE),11,0.9,4.1,5.6,2
HP Inc. (HPQ),11,0.1,5.1,6.1,2
Hormel Foods Corporation (HRL),30,13.3,10.7,6.0,3
"Henry Schein, Inc. (HSIC)",14,2.0,5.7,6.3,2
"Host Hotels & Resorts, Inc. (HST)",13,3.3,4.6,5.5,1
The Hershey Company (HSY),26,10.5,10.4,5.1,3
Hubbell Incorporated (HUBB),20,5.6,9.1,4.9,0
Humana Inc. (HUM),22,0.0,16.7,5.7,2
Huntsman Corporation (HUN),27,12.8,5.9,8.4,1
IAC Inc. (IAC),27,2.8,15.1,4.7,2
International Business Machines Corporation (IBM),14,1.8,6.2,6.1,2
"Intercontinental Exchange, Inc. (ICE)",20,1.7,9.3,8.8,1
ICL Group Ltd (ICL),30,15.6,8.0,6.9,2
"IDEXX Laboratories, Inc. (IDXX)",19,2.6,7.1,8.9,1
IDEX Corporation (IEX),29,10.3,13.7,5.3,0
International Flavors & Fragrances Inc. (IFF),23,10.5,5.6,6.6,3
International Game Technology PLC (IGT),15,,,,2
"Illumina, Inc. (ILMN)",19,0.1,11.6,6.9,3
Imperial Oil Limited (IMO),37,22.6,7.1,7.5,3
Incyte Corporation (INCY),25,1.1,16.3,7.4,1
Ingredion Incorporated (INGR),29,13.5,10.1,5.0,2
Intel Corporation (INTC),19,4.9,7.3,6.6,3
Intuit Inc. (INTU),16,1.0,10.7,4.7,2
"Ionis Pharmaceuticals, Inc. (IONS)",29,2.0,18.8,8.5,1
IQVIA Holdings Inc. (IQV),19,1.3,10.6,7.2,2
Iron Mountain Incorporated (IRM),15,5.0,3.7,5.8,2
"Intuitive Surgical, Inc. (ISRG)",21,3.7,9.6,7.8,1
"Gartner, Inc. (IT)",19,0.1,13.2,5.6,1
Illinois Tool Works Inc. (ITW),25,7.0,11.8,6.5,2
Invesco Ltd. (IVZ),23,0.7,11.0,11.0,2
Jacobs Solutions Inc. (J),22,5.3,11.5,5.6,3
"J.B. Hunt Transport Services, Inc. (JBHT)",15,3.3,6.6,5.0,1
Johnson Controls International plc (JCI),14,4.5,4.6,5.4,3
Jefferies Financial Group Inc. (JEF),26,2.6,9.4,13.9,2
"Jack Henry & Associates, Inc. (JKHY)",19,4.3,8.7,5.7,0
Jones Lang LaSalle Incorporated (JLL),7,1.5,2.1,3.1,1
Johnson & Johnson (JNJ),24,0.9,15.0,8.0,4
"Juniper Networks, Inc. (JNPR)",15,1.8,7.2,5.8,1
JPMorgan Chase & Co. (JPM),29,1.1,16.5,11.7,3
"Nordstrom, Inc. (JWN)",20,3.7,12.8,3.9,2
Kellanova (K),28,10.6,13.4,4.4,2
"OPENLANE, Inc. (KAR)",18,,,,1
KeyCorp (KEY),21,1.6,9.2,10.7,1
"Keysight Technologies, Inc. (KEYS)",8,1.2,1.8,4.7,1
The Kraft Heinz Company (KHC),34,13.5,14.1,6.2,3
Kimco Realty Corporation (KIM),11,2.3,2.6,6.0,0
KLA Corporation (KLAC),17,7.4,5.1,4.6,0
Kimberly-Clark Corporation (KMB),28,10.4,10.4,7.6,2
"Kinder Morgan, Inc. (KMI)",19,8.3,7.2,3.5,2
"CarMax, Inc. (KMX)",12,0.1,8.0,4.0,2
The Coca-Cola Company (KO),22,7.2,9.5,4.9,3
The Kroger Co. (KR),21,6.6,9.1,5.6,3
Kohl's Corporation (KSS),12,2.3,6.2,3.8,2
Loews Corporation (L),16,0.6,4.3,11.5,2
"Lazard, Inc. (LAZ)",23,1.9,9.6,11.6,2
Liberty Broadband Corporation (LBRDK),22,2.1,11.4,8.8,1
Liberty Global Ltd. (LBTYA),23,5.6,10.4,7.4,2
"Leidos Holdings, Inc. (LDOS)",18,3.4,9.0,5.3,2
Lear Corporation (LEA),12,3.4,3.7,5.3,2
"Lincoln Electric Holdings, Inc. (LECO)",22,7.6,8.7,5.6,1
"Leggett & Platt, Incorporated (LEG)",15,6.5,4.1,3.9,2
Lennar Corporation (LEN),25,11.3,8.6,5.6,2
Laboratory Corporation of America Holdings (LH),20,0.4,12.7,6.6,2
Lennox International Inc. (LII),20,8.1,4.2,7.2,0
LKQ Corporation (LKQ),11,3.8,4.0,3.3,2
Eli Lilly and Company (LLY),24,2.5,12.6,9.1,2
Lockheed Martin Corporation (LMT),30,8.0,15.1,7.1,3
Lincoln National Corporation (LNC),18,1.9,6.1,9.9,2
"Cheniere Energy, Inc. (LNG)",23,11.3,8.2,3.3,2
Alliant Energy Corporation (LNT),21,8.5,6.6,6.3,0
"Lowe's Companies, Inc. (LOW)",12,3.3,5.3,3.2,2
Lam Research Corporation (LRCX),14,4.5,4.0,5.1,1
Lululemon Athletica Inc. (LULU),17,1.6,9.9,5.5,2
"Lumen Technologies, Inc. (LUMN)",26,6.7,12.8,6.7,2
Southwest Airlines Co. (LUV),31,11.0,13.7,5.9,2
Las Vegas Sands Corp. (LVS),19,2.3,7.7,8.7,2
LyondellBasell Industries N.V. (LYB),21,13.5,2.1,5.1,2
"Macy's, Inc. (M)",17,,,,2
Mastercard Incorporated (MA),17,2.2,6.7,8.3,4
"Mid-America Apartment Communities, Inc. (MAA)",13,3.9,3.0,6.3,1
The Macerich Company (MAC),12,,,,1
ManpowerGroup Inc. (MAN),10,0.0,6.0,3.8,1
"Marriott International, Inc. (MAR)",21,8.6,9.2,3.7,3
Masco Corporation (MAS),22,9.7,5.6,6.8,1
"Mattel, Inc. (MAT)",15,0.8,9.4,5.3,4
McDonald's Corporation (MCD),26,7.6,12.6,5.8,3
Microchip Technology Incorporated (MCHP),32,15.3,9.2,7.4,1
McKesson Corporation (MCK),15,1.6,7.3,6.3,3
Moody's Corporation (MCO),16,1.6,6.1,8.1,2
"Pediatrix Medical Group, Inc. (MD)",21,,,,2
"Mondelez International, Inc. (MDLZ)",22,7.2,9.4,5.4,3
Medtronic plc (MDT),23,1.8,13.4,7.6,3
"MDU Resources Group, Inc. (MDU)",36,21.0,6.6,7.9,1
"MetLife, Inc. (MET)",16,0.7,7.0,8.8,2
"Meta Platforms, Inc. (META)",34,2.7,21.1,10.3,4
Manulife Financial Corporation (MFC),18,0.9,8.8,8.3,2
Magna International Inc. (MGA),19,4.6,9.2,4.8,2
MGM Resorts International (MGM),25,1.3,13.0,10.5,2
"Mohawk Industries, Inc. (MHK)",14,5.8,4.2,4.2,2
The Middleby Corporation (MIDD),30,9.3,14.3,6.8,0
"McCormick & Company, Incorporated (MKC)",26,9.6,11.1,5.3,2
Markel Group Inc. (MKL),27,2.5,10.6,13.8,2
Melco Resorts & Entertainment Limited (MLCO),21,3.2,8.2,9.9,2
"Martin Marietta Materials, Inc. (MLM)",30,16.7,4.8,8.7,2
"Marsh & McLennan Companies, Inc. (MMC)",21,0.1,11.3,9.7,2
3M Company (MMM),37,17.2,13.6,6.5,5
Monster Beverage Corporation (MNST),29,12.1,12.0,5.1,2
"Altria Group, Inc. (MO)",31,6.1,17.6,7.6,3
The Mosaic Company (MOS),34,13.9,11.1,8.6,2
Marathon Petroleum Corporation (MPC),30,17.1,8.1,5.3,3
"Merck & Co., Inc. (MRK)",21,1.9,10.6,8.9,3
"Marvell Technology, Inc. (MRVL)",20,6.2,7.5,6.4,2
Morgan Stanley (MS),25,1.1,12.9,10.5,2
MSCI Inc. (MSCI),16,1.6,7.0,7.7,1
Microsoft Corporation (MSFT),15,1.5,7.5,6.1,3
"Motorola Solutions, Inc. (MSI)",13,2.3,5.1,5.8,1
"MSC Industrial Direct Co., Inc. (MSM)",17,3.7,7.0,6.4,0
M&T Bank Corporation (MTB),27,2.6,10.3,13.6,1
Mettler-Toledo International Inc. (MTD),13,1.0,7.4,4.7,0
"Micron Technology, Inc. (MU)",18,7.2,5.5,5.5,2
Norwegian Cruise Line Holdings Ltd. (NCLH),26,9.0,10.9,6.1,2
"Nasdaq, Inc. (NDAQ)",13,0.0,5.6,7.4,1
Nordson Corporation (NDSN),25,8.2,11.6,5.1,1
"NextEra Energy, Inc. (NEE)",23,9.4,8.3,5.6,2
Newmont Corporation (NEM),21,7.1,8.2,5.2,3
NewMarket Corporation (NEU),36,17.8,9.7,8.6,0
"Netflix, Inc. (NFLX)",16,0.1,7.3,9.0,2
NiSource Inc. (NI),26,12.0,9.2,4.9,3
"NIKE, Inc. (NKE)",20,3.0,10.0,6.7,3
"Annaly Capital Management, Inc. (NLY)",11,2.1,2.9,6.2,0
Northrop Grumman Corporation (NOC),28,7.8,14.4,5.4,2
NOV Inc. (NOV),32,11.7,12.0,8.4,2
"ServiceNow, Inc. (NOW)",17,4.0,6.0,6.6,0
"NRG Energy, Inc. (NRG)",32,16.8,9.5,5.7,2
Norfolk Southern Corporation (NSC),24,8.0,10.5,5.4,3
"NetApp, Inc. (NTAP)",15,2.2,7.7,5.5,1
Nutrien Ltd. (NTR),28,13.6,8.4,6.5,2
Northern Trust Corporation (NTRS),24,1.9,11.8,10.2,2
Nucor Corporation (NUE),33,9.3,14.7,8.8,2
NVIDIA Corporation (NVDA),14,2.3,4.9,6.3,2
"NVR, Inc. (NVR)",20,7.2,7.8,5.2,1
Newell Brands Inc. (NWL),14,5.9,4.0,3.7,2
News Corporation (NWSA),11,0.0,4.7,6.7,2
NXP Semiconductors N.V. (NXPI),20,8.6,5.4,5.8,1
"New York Community Bancorp, Inc. (NYCB)",28,2.8,13.4,11.5,3
Realty Income Corporation (O),15,4.4,5.3,5.7,2
Owens Corning (OC),19,9.2,5.1,4.9,1
OGE Energy Corp. (OGE),32,15.7,10.6,5.5,0
"Omega Healthcare Investors, Inc. (OHI)",18,7.1,5.2,5.8,1
"ONEOK, Inc. (OKE)",25,10.8,11.0,3.3,1
Omnicom Group Inc. (OMC),16,0.1,9.3,6.9,1
